condition,seed,selection_enabled,stop_reason,loo_c_score,g_scene,pairwise_entropy,ji_score,unique_bins,mean_lifetime_steps,same_pitch_replacement_rate,same_family_respawn_rate,same_octave_respawn_rate,underfilled_respawn_rate,mean_respawn_band_occupancy,energy_exhaustion_deaths,background_turnover_deaths,juvenile_cull_deaths
heredity_nosel,3870294017,0,min_deaths,0.399778,-9.389146,3.662749,0.096532,13.000,63.166,0.038000,0.007200,0.000000,0.992800,1.201,2463,37,0
heredity_nosel,3870294018,0,min_deaths,0.388725,-11.697164,3.703364,0.109424,12.000,64.523,0.038400,0.001600,0.000000,0.994400,1.186,2446,54,0
heredity_nosel,3870294019,0,min_deaths,0.321100,-11.433167,3.923086,0.121357,13.000,64.289,0.038000,0.003200,0.000000,0.993600,1.188,2452,48,0
heredity_nosel,3870294020,0,min_deaths,0.482720,-7.950148,3.514004,0.107602,13.000,63.614,0.032400,0.005200,0.000000,0.995600,1.166,2443,57,0
heredity_nosel,3870294021,0,min_deaths,0.311213,-16.405226,3.823672,0.099641,12.000,64.215,0.036400,0.002000,0.000000,0.992800,1.192,2457,43,0
heredity_nosel,3870294022,0,min_deaths,0.378207,-13.179234,3.708808,0.129564,13.000,64.528,0.036800,0.004800,0.000000,0.991600,1.214,2457,43,0
heredity_nosel,3870294023,0,min_deaths,0.419917,-12.237847,3.967768,0.113496,15.000,64.004,0.041200,0.002400,0.000000,0.992800,1.204,2444,56,0
heredity_nosel,3870294024,0,min_deaths,0.363474,-13.529860,3.735808,0.135480,13.000,63.719,0.041200,0.004400,0.000000,0.996800,1.175,2456,44,0
heredity_nosel,3870294025,0,min_deaths,0.525232,-6.896458,3.500245,0.119818,12.000,64.165,0.041200,0.002800,0.000000,0.991200,1.200,2450,50,0
heredity_nosel,3870294026,0,min_deaths,0.369983,-6.973348,3.712150,0.115451,11.000,63.636,0.040000,0.004800,0.000000,0.993600,1.193,2447,53,0
heredity_nosel,3870294027,0,min_deaths,0.477166,-9.970004,3.385808,0.124004,13.000,64.378,0.040000,0.002800,0.000000,0.995600,1.182,2438,62,0
heredity_nosel,3870294028,0,min_deaths,0.407128,-15.214041,3.565876,0.144898,13.000,64.347,0.029600,0.003200,0.000000,0.994800,1.196,2452,48,0
heredity_nosel,3870294029,0,min_deaths,0.313032,-10.534898,4.020595,0.091749,16.000,64.106,0.028400,0.004000,0.000000,0.995200,1.181,2460,40,0
heredity_nosel,3870294030,0,min_deaths,0.308819,-8.806705,3.783977,0.115431,14.000,63.989,0.035186,0.002799,0.000000,0.994802,1.172,2445,56,0
heredity_nosel,3870294031,0,min_deaths,0.368432,-6.283687,3.558699,0.131603,12.000,64.908,0.030000,0.003600,0.000000,0.989200,1.202,2456,44,0
heredity_nosel,3870294032,0,min_deaths,0.332353,-16.082691,3.751087,0.144817,12.000,64.014,0.030000,0.002800,0.000000,0.995200,1.181,2458,42,0
heredity_nosel,3870294033,0,min_deaths,0.305421,-11.578588,4.034659,0.104771,14.000,64.106,0.041200,0.002800,0.000000,0.992800,1.182,2464,36,0
heredity_nosel,3870294034,0,min_deaths,0.324924,-9.262228,4.082342,0.083875,15.000,64.030,0.037970,0.003597,0.000000,0.995604,1.176,2456,46,0
heredity_nosel,3870294035,0,min_deaths,0.443123,-9.023571,3.577867,0.122372,13.000,64.533,0.028400,0.002400,0.000000,0.993600,1.185,2452,48,0
heredity_nosel,3870294036,0,min_deaths,0.443066,-8.880733,3.511910,0.138591,13.000,63.546,0.034800,0.006000,0.000000,0.993200,1.199,2449,51,0
random_nosel,3870294017,0,min_deaths,0.356846,-10.944004,3.804396,0.127556,15.000,63.865,0.022400,0.000000,0.000000,0.000000,0.000,2462,38,0
random_nosel,3870294018,0,min_deaths,0.324562,-11.560532,3.888729,0.112151,15.000,63.832,0.018400,0.000000,0.000000,0.000000,0.000,2449,51,0
random_nosel,3870294019,0,min_deaths,0.519209,-6.994914,2.815567,0.181026,11.000,63.956,0.022000,0.000000,0.000000,0.000000,0.000,2453,47,0
random_nosel,3870294020,0,min_deaths,0.476994,-8.932394,3.430196,0.105362,14.000,63.845,0.017200,0.000000,0.000000,0.000000,0.000,2442,58,0
random_nosel,3870294021,0,min_deaths,0.228550,-10.266211,4.034250,0.094576,14.000,64.854,0.018000,0.000000,0.000000,0.000000,0.000,2456,44,0
random_nosel,3870294022,0,min_deaths,0.434716,-5.412934,3.237984,0.131210,11.000,64.133,0.022791,0.000000,0.000000,0.000000,0.000,2458,43,0
random_nosel,3870294023,0,min_deaths,0.355063,-8.678294,3.943327,0.119438,13.000,64.109,0.020792,0.000000,0.000000,0.000000,0.000,2446,55,0
random_nosel,3870294024,0,min_deaths,0.388471,-7.442105,3.640111,0.149886,13.000,64.514,0.016800,0.000000,0.000000,0.000000,0.000,2457,43,0
random_nosel,3870294025,0,min_deaths,0.444259,-7.364264,3.597372,0.159502,14.000,63.891,0.018400,0.000000,0.000000,0.000000,0.000,2449,51,0
random_nosel,3870294026,0,min_deaths,0.324644,-7.231128,3.875872,0.121795,15.000,63.716,0.020800,0.000000,0.000000,0.000000,0.000,2450,50,0
random_nosel,3870294027,0,min_deaths,0.391889,-7.769347,3.564111,0.125815,14.000,64.342,0.017200,0.000000,0.000000,0.000000,0.000,2438,62,0
random_nosel,3870294028,0,min_deaths,0.422301,-7.396774,3.574706,0.154455,13.000,64.337,0.020000,0.000000,0.000000,0.000000,0.000,2454,46,0
random_nosel,3870294029,0,min_deaths,0.427547,-5.911377,3.429889,0.094937,13.000,63.523,0.016000,0.000000,0.000000,0.000000,0.000,2458,42,0
random_nosel,3870294030,0,min_deaths,0.350492,-7.266634,3.749609,0.160051,15.000,64.494,0.021200,0.000000,0.000000,0.000000,0.000,2441,59,0
random_nosel,3870294031,0,min_deaths,0.271750,-14.227343,4.112865,0.107331,15.000,63.935,0.014400,0.000000,0.000000,0.000000,0.000,2456,44,0
random_nosel,3870294032,0,min_deaths,0.370681,-6.806553,3.646328,0.146397,14.000,63.940,0.016393,0.000000,0.000000,0.000000,0.000,2460,41,0
random_nosel,3870294033,0,min_deaths,0.412889,-7.071671,3.333673,0.134314,12.000,64.079,0.015200,0.000000,0.000000,0.000000,0.000,2461,39,0
random_nosel,3870294034,0,min_deaths,0.363101,-5.494164,3.807682,0.122259,13.000,63.728,0.015600,0.000000,0.000000,0.000000,0.000,2452,48,0
random_nosel,3870294035,0,min_deaths,0.387048,-10.107446,3.626539,0.109399,13.000,63.610,0.020400,0.000000,0.000000,0.000000,0.000,2452,48,0
random_nosel,3870294036,0,min_deaths,0.526186,-6.460147,3.074003,0.133717,11.000,63.970,0.019600,0.000000,0.000000,0.000000,0.000,2446,54,0
heredity,3870294017,1,steps_cap,0.887640,-0.660951,0.830649,0.768776,4.000,139.262,0.039286,0.000000,0.000000,0.994643,1.084,560,0,0
heredity,3870294018,1,steps_cap,0.904528,-0.187181,1.237019,0.555597,4.000,139.108,0.020270,0.013514,0.000000,0.959459,1.284,148,0,0
heredity,3870294019,1,steps_cap,0.888507,-0.701248,1.044541,0.562540,4.000,88.402,0.053571,0.017857,0.000000,0.982143,1.259,112,0,0
heredity,3870294020,1,steps_cap,0.845350,-0.681477,0.854891,0.729192,4.000,131.412,0.026316,0.000000,0.000000,0.982456,1.149,114,0,0
heredity,3870294021,1,steps_cap,0.809953,-4.098293,2.165505,0.267533,7.000,66.103,0.000000,0.000000,0.000000,1.000000,1.179,39,0,0
heredity,3870294022,1,steps_cap,0.736629,-3.497980,2.146794,0.291072,9.000,77.233,0.016667,0.000000,0.000000,1.000000,1.150,60,0,0
heredity,3870294023,1,steps_cap,0.935386,-0.659623,0.000000,1.000000,3.000,82.519,0.048433,0.002849,0.000000,0.980057,1.162,351,0,0
heredity,3870294024,1,steps_cap,0.898838,-0.315449,0.930111,0.618091,5.000,71.450,0.022901,0.000000,0.000000,0.984733,1.137,131,0,0
heredity,3870294025,1,steps_cap,0.948493,0.090827,0.000000,1.000000,3.000,92.458,0.039252,0.003738,0.000000,0.994393,1.077,535,0,0
heredity,3870294026,1,steps_cap,0.903081,-0.071345,1.088900,0.666697,4.000,75.427,0.033333,0.000000,0.000000,0.993333,1.113,150,0,0
heredity,3870294027,1,steps_cap,0.816226,-2.251343,1.815427,0.355582,5.000,92.721,0.016393,0.000000,0.000000,0.950820,1.213,61,0,0
heredity,3870294028,1,steps_cap,0.775463,-4.668504,2.086938,0.317180,6.000,84.889,0.027778,0.000000,0.000000,1.000000,1.222,36,0,0
heredity,3870294029,1,steps_cap,0.878694,-0.662724,1.117584,0.666697,5.000,166.316,0.019355,0.006452,0.000000,0.987097,1.129,155,0,0
heredity,3870294030,1,steps_cap,0.874729,-0.537373,0.847121,0.729192,4.000,103.292,0.018868,0.009434,0.000000,0.971698,1.226,106,0,0
heredity,3870294031,1,steps_cap,0.805793,-3.526734,1.792742,0.273436,5.000,90.824,0.019608,0.000000,0.000000,0.980392,1.216,51,0,0
heredity,3870294032,1,steps_cap,0.843726,-1.409652,1.803331,0.360448,6.000,68.103,0.017241,0.000000,0.000000,1.000000,1.138,58,0,0
heredity,3870294033,1,steps_cap,0.800619,-3.465060,1.194203,0.672589,5.000,247.624,0.023474,0.009390,0.000000,0.976526,1.141,213,0,0
heredity,3870294034,1,steps_cap,0.878219,-0.389174,1.005467,0.618091,3.000,105.467,0.028571,0.000000,0.000000,0.942857,1.295,105,0,0
heredity,3870294035,1,steps_cap,0.873466,-0.378227,0.974315,0.583372,4.000,91.846,0.026846,0.000000,0.000000,0.993289,1.060,149,0,0
heredity,3870294036,1,steps_cap,0.886851,-0.889379,0.990100,0.618091,4.000,109.182,0.036364,0.000000,0.000000,0.981818,1.136,110,0,0
random,3870294017,1,steps_cap,0.827546,-0.908105,1.425221,0.467253,5.000,460.918,0.020619,0.000000,0.000000,0.000000,0.000,97,0,0
random,3870294018,1,steps_cap,0.820149,-0.011702,0.638967,0.805573,6.000,85.282,0.007634,0.000000,0.000000,0.000000,0.000,131,0,0
random,3870294019,1,steps_cap,0.809255,-1.728709,1.456892,0.368609,6.000,84.408,0.013158,0.000000,0.000000,0.000000,0.000,76,0,0
random,3870294020,1,steps_cap,0.787789,-1.985799,1.350160,0.555597,6.000,84.843,0.055556,0.000000,0.000000,0.000000,0.000,108,0,0
random,3870294021,1,steps_cap,0.904353,-0.330890,0.964784,0.583372,5.000,79.467,0.016667,0.000000,0.000000,0.000000,0.000,120,0,0
random,3870294022,1,steps_cap,0.769347,-2.256073,0.989389,0.501235,6.000,159.680,0.038835,0.000000,0.000000,0.000000,0.000,103,0,0
random,3870294023,1,steps_cap,0.876457,-1.156808,1.264278,0.555597,5.000,89.011,0.010989,0.000000,0.000000,0.000000,0.000,91,0,0
random,3870294024,1,steps_cap,0.869499,-0.635075,1.510049,0.554802,6.000,69.890,0.010000,0.000000,0.000000,0.000000,0.000,100,0,0
random,3870294025,1,steps_cap,0.845835,-0.554319,1.148245,0.562540,6.000,73.589,0.011111,0.000000,0.000000,0.000000,0.000,90,0,0
random,3870294026,1,steps_cap,0.834465,-1.615273,1.181069,0.555046,6.000,87.490,0.028846,0.000000,0.000000,0.000000,0.000,104,0,0
random,3870294027,1,steps_cap,0.885074,-0.287309,1.031548,0.562541,6.000,91.798,0.025210,0.000000,0.000000,0.000000,0.000,119,0,0
random,3870294028,1,steps_cap,0.880506,-0.527668,1.327194,0.583372,5.000,147.162,0.009524,0.000000,0.000000,0.000000,0.000,105,0,0
random,3870294029,1,steps_cap,0.859417,-0.039886,1.046510,0.666693,6.000,81.362,0.014493,0.000000,0.000000,0.000000,0.000,138,0,0
random,3870294030,1,steps_cap,0.834656,-0.389125,1.193314,0.562540,6.000,112.449,0.007874,0.000000,0.000000,0.000000,0.000,127,0,0
random,3870294031,1,steps_cap,0.782735,-2.292861,1.750741,0.314133,8.000,72.857,0.015873,0.000000,0.000000,0.000000,0.000,63,0,0
random,3870294032,1,steps_cap,0.816679,-0.364204,1.140836,0.583372,7.000,75.743,0.009524,0.000000,0.000000,0.000000,0.000,105,0,0
random,3870294033,1,steps_cap,0.813485,-1.210138,1.516842,0.392514,9.000,79.645,0.013158,0.000000,0.000000,0.000000,0.000,76,0,0
random,3870294034,1,steps_cap,0.751726,-2.419032,1.384824,0.575060,7.000,267.511,0.010638,0.000000,0.000000,0.000000,0.000,188,0,0
random,3870294035,1,steps_cap,0.912147,-0.633110,0.000000,1.000000,3.000,227.283,0.012579,0.000000,0.000000,0.000000,0.000,159,0,0
random,3870294036,1,steps_cap,0.855118,-0.724849,0.854891,0.729192,4.000,143.048,0.040816,0.000000,0.000000,0.000000,0.000,147,0,0
